+--------+-----------+---------------+--------------------------------+
| vundet | nomineret | vinderforhold | navn                           |
|      0 |         1 |        0.0000 | Bjarne Fich                    | 
|      0 |         1 |        0.0000 | Brian Møller                   | 
|      0 |         1 |        0.0000 | Henrik Eriksen                 | 
|      0 |         1 |        0.0000 | Jannie Holm                    | 
|      0 |         1 |        0.0000 | Jens Hougaard Nielsen          | 
|      0 |         1 |        0.0000 | Jesper Bisgaard                | 
|      0 |         1 |        0.0000 | Jesper Skou Pedersen           | 
|      0 |         1 |        0.0000 | Jonas Sanberg Jensen           | 
|      0 |         1 |        0.0000 | Lars Christiansen              | 
|      0 |         1 |        0.0000 | Lars Hess                      | 
|      0 |         1 |        0.0000 | Lars Møller                    | 
|      0 |         1 |        0.0000 | Lars Bech Nielsen              | 
|      0 |         1 |        0.0000 | Lars Ræder Clausen             | 
|      0 |         1 |        0.0000 | Louise Kusk                    | 
|      0 |         1 |        0.0000 | Magnus Udbjørg                 | 
|      0 |         1 |        0.0000 | Martha Cecilia Lassen          | 
|      0 |         1 |        0.0000 | Niels Geckler                  | 
|      0 |         1 |        0.0000 | Pelle Klit Christensen         | 
|      0 |         1 |        0.0000 | Peter Brodersen                | 
|      0 |         1 |        0.0000 | Ruddi Oliver Bodholdt Dal      | 
|      0 |         1 |        0.0000 | Sigrid Svane                   | 
|      0 |         1 |        0.0000 | Sigurd Rubech                  | 
|      0 |         1 |        0.0000 | Thomas Frost                   | 
|      0 |         1 |        0.0000 | Tine Kjær Nyeng                | 
+--------+-----------+---------------+--------------------------------+


